PO/PSO,COs,Total Session,%Session,Mapping Strength
 PO2,"CO2,CO4",13,31,2
 PO5,CO3,15,35,2
 PSO3,"CO2,CO3,CO4,CO5,CO6",36,84,3
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",43,100,3
PSO3,CO1,7,17,1
