PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO3,CO4,CO6",36,86,3
PO2,CO5,6,15,1
PO3,CO1,5,12,1
PO5,"CO2,CO3,CO4",14,34,2
PO6,"CO2,CO3,CO4",14,34,2
POS1,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3
