" PO2","CO1","10","23","1","61.19","20.4"
"PO1","CO1","10","23","1","61.19","20.4"
"PO10","CO1,CO2","20","45","3","61.08","61.08"
"PO11","CO1,CO3,CO4","26","58","3","61.48","61.48"
"PO12","CO2,CO3,CO5,CO6","27","60","3","61.91","61.91"
"PO2","CO2,CO4","18","40","3","61.27","61.27"
"PO3","CO1","10","23","1","61.19","20.4"
"PO4","CO2,CO4","18","40","3","61.27","61.27"
"PO5","CO1,CO3,CO5,CO6","27","60","3","61.96","61.96"
"PO6","CO3","8","18","1","61.7","20.57"
"PO7","CO2","10","23","1","60.98","20.33"
"PO8","CO2","10","23","1","60.98","20.33"
"PO9","CO1","10","23","1","61.19","20.4"
"PSO1","CO2,CO3,CO4,CO6","30","67","3","62.03","62.03"
"PSO2","CO1,CO2","20","45","3","61.08","61.08"
"PSO3","CO3,CO4,CO5,CO6","25","56","3","62.05","62.05"
