CO1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2
CO2,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-
CO3,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-
CO4,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-
CO5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2
CO6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2
AVG,3.0,2.0,-,-,2.0,-,-,-,-,-,-,-,-,-,2.0
