"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107191","041404","4","5","4","4","4","3","2","17","38.00"
"15106107227","041404","4","5","1","3","3","0","3","10","38.00"
"15106107228","041404","5","5","4","3","4","4","3","18","39.00"
"15106107229","041404","5","5","4","4","3","3","4","18","33.00"
"15106107230","041404","5","5","1","4","1","2","4","12","29.00"
"15106107231","041404","5","5","1","4","4","3","4","16","31.00"
"15106107233","041404","5","5","3","4","4","4","4","19","46.00"
"15106107234","041404","5","5","4","4","3","4","4","19","52.00"
"15106107235","041404","5","5","3","4","4","4","4","19","26.00"
"15106107236","041404","5","5","4","4","3","3","4","18","27"
"15106107237","041404","5","4","4","2","2","4","4","16","41.00"
"15106107238","041404","5","3","4","4","4","4","4","20","41.00"
"15106107239","041404","5","4","1","4","3","4","2","14","41.00"
"15106107240","041404","4","5","3","4","0","2","1","10","26.00"
"15106107241","041404","4","4","4","4","1","4","4","17","47.00"
"15106107242","041404","5","5","4","2","4","2","4","16","27.00"
"15106107244","041404","5","4","4","1","4","3","4","16","40.00"
"15106107245","041404","5","5","4","1","2","3","3","13","43.00"
"15106107246","041404","5","5","3","1","4","4","4","16","34.00"
"15106107247","041404","4","3","4","4","2","0","1","11","31.00"
"15106107248","041404","5","5","4","4","4","3","4","19","45.00"
"15106107249","041404","5","5","4","2","4","4","3","17","43.00"
"15106107250","041404","5","5","4","4","3","3","2","16","34.00"
"15106107253","041404","4","5","4","4","3","4","4","19","38.00"
"15106107254","041404","4","5","3","4","2","4","4","17","38.00"
"15106107255","041404","5","5","1","4","4","2","1","12","28.00"
"15106107256","041404","5","5","4","4","0","2","3","13","34.00"
"15106107257","041404","4","5","3","4","4","3","1","15","33.00"
"15106107259","041404","4","5","2","2","1","2","4","11","29.00"
"15106107260","041404","4","5","2","4","4","4","4","18","34.00"
"15106107262","041404","5","5","4","4","2","2","0","12","35.00"
"15106107263","041404","5","5","2","1","4","3","2","12","33.00"
"15106107264","041404","5","5","4","4","4","4","4","20","41.00"
"15106107265","041404","5","5","4","3","2","3","4","16","30.00"
"15106107266","041404","5","4","4","4","4","4","4","20","41.00"
"15106107267","041404","4","5","3","0","4","1","2","10","29.00"
