CO1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
CO2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
CO3,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-
CO4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
CO5,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-
CO6,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
AVG,-,2.0,2.0,2.0,3.0,-,-,-,-,-,-,-,-,-,-
