,Course Code,,,MidTerm,End Sem
14106107182,61711,,,29,44
14106107184,61711,,,29,50
14106107185,61711,,,29,39
14106107186,61711,,,29,46
14106107187,61711,,,28,50
14106107188,61711,,,29,46
14106107189,61711,,,28,44
14106107192,61711,,,28,39
14106107197,61711,,,25,37
14106107198,61711,,,27,42
14106107201,61711,,,29,46
14106107202,61711,,,24,45
14106107203,61711,,,29,48
14106107204,61711,,,28,38
14106107205,61711,,,29,43
14106107206,61705,,,25,41
14106107207,61711,,,22,33
14106107209,61711,,,28,41
14106107211,61711,,,24,25
14106107263,61711,,,27,42
14106107264,61711,,,29,46
14106107265,61711,,,23,44
14106107266,61711,,,26,42
14106107267,61711,,,25,37
14106107268,61711,,,24,44
14106107269,61711,,,29,35
14106107270,61711,,,29,42
14106107316,61711,,,30,47
14106107317,61711,,,26,38
14106107318,61711,,,30,40
