,Course Code,,,MidTerm,End Sem
14106107182,61722,,,24,41
14106107184,61722,,,23,36
14106107185,61722,,,26,35
14106107186,61722,,,26,35
14106107187,61722,,,26,46
14106107188,61722,,,26,38
14106107189,61722,,,26,40
14106107192,61722,,,25,39
14106107197,61722,,,19,33
14106107198,61722,,,25,41
14106107201,61722,,,27,39
14106107202,61722,,,20,38
14106107203,61722,,,27,43
14106107204,61722,,,21,38
14106107205,61722,,,24,38
14106107206,61707,,,26,44
14106107207,61722,,,20,42
14106107209,61722,,,23,40
14106107211,61722,,,25,30
14106107263,61722,,,25,36
14106107264,61722,,,24,36
14106107265,61722,,,25,35
14106107266,61722,,,23,36
14106107267,61722,,,24,38
14106107268,61722,,,22,38
14106107269,61722,,,25,35
14106107270,61722,,,23,36
14106107316,61722,,,28,37
14106107317,61722,,,25,33
14106107318,61722,,,28,35
