"PO1","CO1,CO2,CO4,CO5","32","77","3","57.9","57.9"
"PO10","CO4,CO5,CO6","20","48","3","59.13","59.13"
"PO11","CO5,CO6","10","24","1","59.42","19.81"
"PO12","CO1,CO2,CO4,CO5,CO6","36","86","3","58.63","58.63"
"PO2","CO2","8","20","1","58.83","19.61"
"PO3","CO1,CO3","14","34","2","57.08","38.05"
"PO4","CO1","8","20","1","56.92","18.97"
"PO5","CO3,CO4","16","39","2","57.89","38.59"
"PO6","CO3,CO5","12","29","2","57.28","38.19"
"PO7","CO5","6","15","1","57.32","19.11"
"PO8","CO2,CO3","14","34","2","58.03","38.69"
"PO9","CO1,CO2,CO4","26","62","3","58.1","58.1"
"PSO1","CO1,CO3,CO4","24","58","3","57.57","57.57"
"PSO2","CO1,CO2,CO4,CO5,CO6","36","86","3","58.63","58.63"
