CO1,3,-,1,-,-,-,-,-,-,-,-,-,3,-,-
CO2,3,-,-,-,2,2,-,-,-,-,-,-,3,-,-
CO3,3,-,-,-,2,2,-,-,-,-,-,-,3,-,-
CO4,3,-,-,-,2,2,-,-,-,-,-,-,3,-,-
CO5,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-
CO6,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-
AVG,3.0,1.0,1.0,-,2.0,2.0,-,-,-,-,-,-,3.0,-,-
