CO1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-
CO2,2,3,3,-,-,-,-,-,-,-,-,-,3,-,-
CO3,2,3,3,3,-,-,-,-,-,-,-,-,3,-,-
CO4,-,3,3,-,3,-,-,-,-,-,-,-,3,-,-
CO5,-,3,-,3,3,-,-,-,-,-,-,-,3,-,-
CO6,-,-,3,3,-,-,-,-,-,-,-,-,3,-,-
AVG,2.0,3.0,3.0,3.0,3.0,-,-,-,-,-,-,-,3.0,-,-
