"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107182","61705","","","3","4","3","4","4","18","27","53"
"14106107184","61705","","","4","4","2","3","4","17","25","41"
"14106107185","61705","","","3","4","4","4","4","19","28","36"
"14106107186","61705","","","3","4","4","4","3","18","27","43"
"14106107187","61705","","","3","4","4","4","4","19","28","49"
"14106107188","61705","","","4","3","4","4","4","19","29","42"
"14106107189","61705","","","4","4","3","4","3","18","26","45"
"14106107192","61705","","","4","2","4","4","3","17","25","46"
"14106107197","61705","","","4","4","4","4","2","18","26","37"
"14106107198","61705","","","3","3","4","3","4","17","25","39"
"14106107201","61705","","","4","4","4","4","3","19","29","43"
"14106107202","61705","","","3","4","3","3","4","17","25","38"
"14106107203","61705","","","4","4","4","4","3","19","29","50"
"14106107204","61705","","","4","4","3","2","4","17","25","39"
"14106107205","61705","","","3","4","3","4","4","18","27","48"
"14106107206","61705","","","4","4","4","4","3","19","28","38"
"14106107207","61705","","","4","4","2","3","4","17","25","31"
"14106107209","61705","","","4","4","4","4","3","19","28","40"
"14106107211","61705","","","4","2","3","4","4","17","25","31"
"14106107263","61705","","","4","4","4","4","1","17","25","46"
"14106107264","61705","","","3","4","3","4","3","17","25","36"
"14106107265","61705","","","4","4","3","4","4","19","28","42"
"14106107266","61705","","","3","4","3","3","4","17","25","43"
"14106107267","61705","","","4","4","3","4","2","17","25","38"
"14106107268","61705","","","4","1","4","4","4","17","25","37"
"14106107269","61705","","","3","3","4","3","4","17","25","30"
"14106107270","61705","","","3","3","4","3","4","17","25","32"
"14106107316","61705","","","4","4","3","3","4","18","26","42"
"14106107317","61705","","","3","3","4","4","4","18","27","37"
"14106107318","61705","","","4","4","4","4","4","20","30","51"
