"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107182","61711","","","4","3","4","4","4","19","29","44"
"14106107184","61711","","","3","4","4","4","4","19","29","50"
"14106107185","61711","","","4","3","4","4","4","19","29","39"
"14106107186","61711","","","4","3","4","4","4","19","29","46"
"14106107187","61711","","","4","4","4","4","3","19","28","50"
"14106107188","61711","","","4","4","3","4","4","19","29","46"
"14106107189","61711","","","3","4","4","4","4","19","28","44"
"14106107192","61711","","","3","4","4","4","4","19","28","39"
"14106107197","61711","","","4","4","3","3","3","17","25","37"
"14106107198","61711","","","4","4","4","3","3","18","27","42"
"14106107201","61711","","","4","4","3","4","4","19","29","46"
"14106107202","61711","","","3","4","1","4","4","16","24","45"
"14106107203","61711","","","4","4","4","3","4","19","29","48"
"14106107204","61711","","","4","4","4","4","3","19","28","38"
"14106107205","61711","","","4","3","4","4","4","19","29","43"
"14106107206","61705","","","4","2","4","3","4","17","25","41"
"14106107207","61711","","","1","3","3","3","4","14","22","33"
"14106107209","61711","","","4","4","3","4","4","19","28","41"
"14106107211","61711","","","0","4","4","4","4","16","24","25"
"14106107263","61711","","","3","4","4","4","3","18","27","42"
"14106107264","61711","","","4","4","3","4","4","19","29","46"
"14106107265","61711","","","0","3","4","4","4","15","23","44"
"14106107266","61711","","","4","3","4","3","4","18","26","42"
"14106107267","61711","","","4","3","4","4","2","17","25","37"
"14106107268","61711","","","3","4","3","3","3","16","24","44"
"14106107269","61711","","","4","4","4","4","3","19","29","35"
"14106107270","61711","","","4","4","4","3","4","19","29","42"
"14106107316","61711","","","4","4","4","4","4","20","30","47"
"14106107317","61711","","","4","3","4","4","3","18","26","38"
"14106107318","61711","","","4","4","4","4","4","20","30","40"
