"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107182","61707","","","3","4","4","4","3","18","27","42"
"14106107184","61707","","","3","1","4","4","4","16","24","38"
"14106107185","61707","","","3","4","4","4","3","18","27","43"
"14106107186","61707","","","4","4","2","4","4","18","27","36"
"14106107187","61707","","","4","4","4","2","4","18","27","46"
"14106107188","61707","","","3","4","4","4","4","19","28","42"
"14106107189","61707","","","3","4","3","4","4","18","27","34"
"14106107192","61707","","","4","3","4","4","3","18","27","54"
"14106107197","61707","","","4","3","4","3","4","18","27","41"
"14106107198","61707","","","3","4","4","3","4","18","27","43"
"14106107201","61707","","","3","4","3","4","4","18","27","42"
"14106107202","61707","","","4","3","4","3","4","18","26","42"
"14106107203","61707","","","4","4","4","3","4","19","28","46"
"14106107204","61707","","","4","4","4","3","3","18","26","40"
"14106107205","61707","","","4","4","4","3","4","19","28","42"
"14106107206","51718","","","4","4","2","4","3","17","25","43"
"14106107207","61707","","","4","4","4","4","2","18","27","44"
"14106107209","61707","","","3","3","4","4","4","18","27","44"
"14106107211","61707","","","3","3","3","4","4","17","25","36"
"14106107263","61707","","","4","3","4","4","4","19","28","44"
"14106107264","61707","","","4","3","4","3","4","18","27","41"
"14106107265","61707","","","4","4","4","4","3","19","28","45"
"14106107266","61707","","","4","4","4","3","3","18","27","44"
"14106107267","61707","","","4","2","4","4","4","18","27","40"
"14106107268","61707","","","2","4","4","4","4","18","27","39"
"14106107269","61707","","","4","4","4","3","4","19","29","45"
"14106107270","61707","","","4","4","3","4","4","19","28","38"
"14106107316","61707","","","4","3","4","4","4","19","29","42"
"14106107317","61707","","","3","3","4","4","4","18","27","42"
"14106107318","61707","","","4","3","4","4","4","19","28","49"
