,Course Code,,,MidTerm,End Sem
14106107182,61726,,,18,28
14106107184,61726,,,18,26
14106107185,61726,,,18,27
14106107186,61726,,,19,28
14106107187,61726,,,19,28
14106107188,61726,,,19,26
14106107189,61726,,,18,25
14106107192,61726,,,18,28
14106107197,61726,,,17,27
14106107198,61726,,,17,26
14106107201,61726,,,18,26
14106107202,61726,,,17,26
14106107203,61726,,,18,28
14106107204,61726,,,18,25
14106107205,61726,,,18,28
14106107206,61726,,,18,27
14106107207,61726,,,18,25
14106107209,61726,,,18,26
14106107211,61726,,,18,26
14106107263,61726,,,18,26
14106107264,61726,,,17,26
14106107265,61726,,,17,25
14106107266,61726,,,18,27
14106107267,61726,,,18,26
14106107268,61726,,,17,26
14106107269,61726,,,17,26
14106107270,61726,,,17,27
14106107316,61726,,,19,26
14106107317,61726,,,18,26
14106107318,61726,,,19,27
