CO1,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-
CO2,3,-,-,-,2,2,-,-,-,-,-,-,-,-,-
CO3,3,-,-,-,2,2,-,-,-,-,-,-,-,-,-
CO4,3,-,-,-,2,2,-,-,-,-,-,-,-,-,-
CO5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
CO6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AVG,3.0,1.0,1.0,-,2.0,2.0,-,-,-,-,-,-,-,-,-
