POST_TR_SGP_TABLE_RegistrationNO,PaperCode,CA1,CA2,POST_TR_TR_MSE,IA_TOTAL,POST_TR_TR_ESE,ExamHeld,ExamName,College_Code,Course_Code,Semester
16106107009,51511,4,3,8,15,10,2018,5thSem,107,106,5
16106107009,51513,4,5,6,15,36,2018,5thSem,107,106,5
16106107009,51516,4,5,12,21,34,2018,5thSem,107,106,5
16106107009,051516P,5,4,7,16,20,2018,5thSem,107,106,5
16106107009,61502,4,4,14,22,27,2018,5thSem,107,106,5
16106107009,061502P,4,4,7,15,26,2018,5thSem,107,106,5
16106107010,41503,5,5,15,25,41,2018,5thSem,107,106,5
16106107010,041503P,5,5,8,18,29,2018,5thSem,107,106,5
16106107010,51505,5,5,20,30,57,2018,5thSem,107,106,5
16106107010,051505P,5,5,9,19,26,2018,5thSem,107,106,5
16106107010,51511,5,5,19,29,47,2018,5thSem,107,106,5
16106107010,51513,5,5,12,22,58,2018,5thSem,107,106,5
16106107010,51516,5,5,18,28,54,2018,5thSem,107,106,5
16106107010,051516P,4,5,9,18,21,2018,5thSem,107,106,5
16106107010,61502,5,4,19,28,50,2018,5thSem,107,106,5
16106107010,061502P,5,4,8,17,28,2018,5thSem,107,106,5
16106107011,41503,5,4,12,21,40,2018,5thSem,107,106,5
16106107011,041503P,5,4,6,15,29,2018,5thSem,107,106,5
16106107011,51505,5,4,17,26,56,2018,5thSem,107,106,5
16106107011,051505P,5,4,8,17,27,2018,5thSem,107,106,5
16106107011,51511,5,5,18,28,44,2018,5thSem,107,106,5
16106107011,51513,5,5,8,18,46,2018,5thSem,107,106,5
16106107011,51516,5,4,16,25,50,2018,5thSem,107,106,5
16106107011,051516P,5,4,8,17,21,2018,5thSem,107,106,5
16106107011,61502,5,5,19,29,45,2018,5thSem,107,106,5
16106107011,061502P,5,4,8,17,29,2018,5thSem,107,106,5
16106107012,41503,5,4,13,22,44,2018,5thSem,107,106,5
16106107012,041503P,5,4,7,16,28,2018,5thSem,107,106,5
16106107012,51505,4,5,15,24,45,2018,5thSem,107,106,5
16106107012,051505P,4,5,7,16,29,2018,5thSem,107,106,5
16106107012,51511,5,5,16,26,21,2018,5thSem,107,106,5
16106107012,51513,5,5,6,16,44,2018,5thSem,107,106,5
16106107012,51516,4,5,18,27,45,2018,5thSem,107,106,5
16106107012,051516P,4,5,8,17,26,2018,5thSem,107,106,5
16106107012,61502,5,5,20,30,41,2018,5thSem,107,106,5
16106107012,061502P,5,5,9,19,27,2018,5thSem,107,106,5
16106107013,41503,5,5,18,28,39,2018,5thSem,107,106,5
16106107013,041503P,5,5,10,20,28,2018,5thSem,107,106,5
16106107013,51505,4,5,18,27,49,2018,5thSem,107,106,5
16106107013,051505P,4,5,7,16,27,2018,5thSem,107,106,5
16106107013,51511,5,5,18,28,41,2018,5thSem,107,106,5
16106107013,51513,5,5,10,20,44,2018,5thSem,107,106,5
16106107013,51516,5,5,17,27,47,2018,5thSem,107,106,5
16106107013,051516P,5,4,8,17,24,2018,5thSem,107,106,5
16106107013,61502,5,5,18,28,39,2018,5thSem,107,106,5
16106107013,061502P,5,5,8,18,26,2018,5thSem,107,106,5
16106107014,41503,5,4,12,21,43,2018,5thSem,107,106,5
16106107014,041503P,5,4,6,15,26,2018,5thSem,107,106,5
16106107014,51505,5,5,14,24,44,2018,5thSem,107,106,5
16106107014,051505P,5,5,8,18,25,2018,5thSem,107,106,5
16106107014,51511,5,5,15,25,45,2018,5thSem,107,106,5
16106107014,51513,4,5,6,15,15,2018,5thSem,107,106,5
16106107014,51516,4,4,16,24,43,2018,5thSem,107,106,5
16106107014,051516P,4,5,7,16,20,2018,5thSem,107,106,5
16106107014,61502,4,5,15,24,34,2018,5thSem,107,106,5
16106107014,061502P,4,4,7,15,27,2018,5thSem,107,106,5
16106107015,41503,4,2,9,15,33,2018,5thSem,107,106,5
16106107015,041503P,4,2,5,11,28,2018,5thSem,107,106,5
16106107015,51505,4,4,17,25,40,2018,5thSem,107,106,5
16106107015,051505P,4,4,8,16,26,2018,5thSem,107,106,5
16106107015,51511,4,4,10,18,43,2018,5thSem,107,106,5
16106107015,51513,4,5,6,15,35,2018,5thSem,107,106,5
16106107015,51516,4,4,14,22,45,2018,5thSem,107,106,5
16106107015,051516P,5,4,7,16,22,2018,5thSem,107,106,5
16106107015,61502,4,5,12,21,36,2018,5thSem,107,106,5
16106107015,061502P,4,4,8,16,27,2018,5thSem,107,106,5
16106107016,41503,4,3,9,16,27,2018,5thSem,107,106,5
16106107016,041503P,4,3,5,12,25,2018,5thSem,107,106,5
16106107016,51505,4,4,12,20,38,2018,5thSem,107,106,5
16106107016,051505P,4,4,5,13,25,2018,5thSem,107,106,5
16106107016,51511,4,3,8,15,15,2018,5thSem,107,106,5
16106107016,51513,5,5,5,15,35,2018,5thSem,107,106,5
16106107016,51516,5,4,15,24,55,2018,5thSem,107,106,5
16106107016,051516P,4,5,8,17,18,2018,5thSem,107,106,5
16106107016,61502,4,4,12,20,34,2018,5thSem,107,106,5
16106107016,061502P,4,4,7,15,27,2018,5thSem,107,106,5
16106107017,41503,4,4,10,18,17,2018,5thSem,107,106,5
16106107017,041503P,4,4,5,13,25,2018,5thSem,107,106,5
16106107017,51505,4,5,16,25,40,2018,5thSem,107,106,5
16106107017,051505P,5,4,7,16,25,2018,5thSem,107,106,5
16106107017,51511,4,4,13,21,26,2018,5thSem,107,106,5
16106107017,51513,4,5,6,15,45,2018,5thSem,107,106,5
16106107017,51516,5,4,17,26,42,2018,5thSem,107,106,5
16106107017,051516P,5,4,7,16,20,2018,5thSem,107,106,5
16106107017,61502,5,5,16,26,39,2018,5thSem,107,106,5
16106107017,061502P,5,5,8,18,28,2018,5thSem,107,106,5
16106107018,41503,4,2,11,17,41,2018,5thSem,107,106,5
16106107018,041503P,4,2,6,12,25,2018,5thSem,107,106,5
16106107018,51505,4,5,14,23,47,2018,5thSem,107,106,5
16106107018,051505P,4,4,5,13,26,2018,5thSem,107,106,5
16106107018,51511,4,3,14,21,58,2018,5thSem,107,106,5
16106107018,51513,5,5,5,15,46,2018,5thSem,107,106,5
16106107018,51516,4,4,14,22,42,2018,5thSem,107,106,5
16106107018,051516P,4,5,7,16,22,2018,5thSem,107,106,5
16106107018,61502,4,4,12,20,44,2018,5thSem,107,106,5
16106107018,061502P,4,4,7,15,26,2018,5thSem,107,106,5
16106107019,41503,4,5,6,15,31,2018,5thSem,107,106,5
16106107019,041503P,4,5,3,12,25,2018,5thSem,107,106,5
16106107019,51505,4,5,10,19,43,2018,5thSem,107,106,5
16106107019,051505P,5,4,5,14,26,2018,5thSem,107,106,5
16106107019,51511,4,3,11,18,54,2018,5thSem,107,106,5
16106107019,51513,5,5,5,15,42,2018,5thSem,107,106,5
16106107019,51516,4,4,10,18,45,2018,5thSem,107,106,5
16106107019,051516P,5,4,9,18,20,2018,5thSem,107,106,5
16106107019,61502,4,4,13,21,42,2018,5thSem,107,106,5
16106107019,061502P,4,4,7,15,25,2018,5thSem,107,106,5
16106107020,41503,5,5,17,27,36,2018,5thSem,107,106,5
16106107020,041503P,5,5,9,19,29,2018,5thSem,107,106,5
16106107020,51505,5,5,20,30,47,2018,5thSem,107,106,5
16106107020,051505P,5,5,9,19,27,2018,5thSem,107,106,5
16106107020,51511,5,5,15,25,43,2018,5thSem,107,106,5
16106107020,51513,5,5,11,21,43,2018,5thSem,107,106,5
16106107020,51516,5,5,19,29,33,2018,5thSem,107,106,5
16106107020,051516P,4,5,9,18,25,2018,5thSem,107,106,5
16106107020,61502,5,5,16,26,37,2018,5thSem,107,106,5
16106107020,061502P,5,5,8,18,29,2018,5thSem,107,106,5
16106107022,41503,5,4,12,21,37,2018,5thSem,107,106,5
16106107022,041503P,5,4,6,15,27,2018,5thSem,107,106,5
16106107022,51505,5,5,16,26,46,2018,5thSem,107,106,5
16106107022,051505P,5,5,8,18,29,2018,5thSem,107,106,5
16106107022,51511,5,5,15,25,51,2018,5thSem,107,106,5
16106107022,51513,5,5,8,18,44,2018,5thSem,107,106,5
16106107022,51516,5,5,14,24,46,2018,5thSem,107,106,5
16106107022,051516P,5,4,9,18,22,2018,5thSem,107,106,5
16106107022,61502,5,5,17,27,44,2018,5thSem,107,106,5
16106107022,061502P,5,5,9,19,29,2018,5thSem,107,106,5
16106107023,41503,5,5,12,22,40,2018,5thSem,107,106,5
16106107023,041503P,5,5,6,16,27,2018,5thSem,107,106,5
16106107023,51505,5,5,16,26,51,2018,5thSem,107,106,5
16106107023,051505P,5,5,7,17,26,2018,5thSem,107,106,5
16106107023,51511,4,3,13,20,52,2018,5thSem,107,106,5
16106107023,51513,5,5,5,15,46,2018,5thSem,107,106,5
16106107023,51516,5,5,15,25,45,2018,5thSem,107,106,5
16106107023,051516P,4,5,8,17,18,2018,5thSem,107,106,5
16106107023,61502,4,5,16,25,45,2018,5thSem,107,106,5
16106107023,061502P,5,4,8,17,28,2018,5thSem,107,106,5
16106107024,41503,5,5,5,15,26,2018,5thSem,107,106,5
16106107024,041503P,5,5,3,13,25,2018,5thSem,107,106,5
16106107024,51505,4,4,18,26,43,2018,5thSem,107,106,5
16106107024,051505P,4,4,7,15,25,2018,5thSem,107,106,5
16106107024,51511,4,3,14,21,21,2018,5thSem,107,106,5
16106107024,51513,5,5,5,15,38,2018,5thSem,107,106,5
16106107024,51516,4,4,17,25,35,2018,5thSem,107,106,5
16106107024,051516P,4,5,7,16,18,2018,5thSem,107,106,5
16106107024,61502,4,4,16,24,37,2018,5thSem,107,106,5
16106107024,061502P,4,4,7,15,27,2018,5thSem,107,106,5
16106107025,41503,4,3,8,15,25,2018,5thSem,107,106,5
16106107025,041503P,4,3,4,11,25,2018,5thSem,107,106,5
16106107025,51505,5,4,19,28,47,2018,5thSem,107,106,5
16106107025,051505P,4,4,8,16,29,2018,5thSem,107,106,5
16106107025,51511,5,5,15,25,9,2018,5thSem,107,106,5
16106107025,51513,4,5,6,15,50,2018,5thSem,107,106,5
16106107025,51516,5,5,16,26,45,2018,5thSem,107,106,5
16106107025,051516P,5,4,7,16,22,2018,5thSem,107,106,5
16106107025,61502,5,5,19,29,47,2018,5thSem,107,106,5
16106107025,061502P,5,5,9,19,29,2018,5thSem,107,106,5
16106107026,41503,5,4,12,21,45,2018,5thSem,107,106,5
16106107026,041503P,5,4,6,15,29,2018,5thSem,107,106,5
16106107026,51505,4,5,19,28,51,2018,5thSem,107,106,5
16106107026,051505P,4,4,8,16,29,2018,5thSem,107,106,5
16106107026,51511,5,4,15,24,52,2018,5thSem,107,106,5
16106107026,51513,5,5,10,20,46,2018,5thSem,107,106,5
16106107026,51516,5,5,19,29,43,2018,5thSem,107,106,5
16106107026,051516P,4,5,7,16,24,2018,5thSem,107,106,5
16106107026,61502,5,5,15,25,34,2018,5thSem,107,106,5
16106107026,061502P,5,5,9,19,25,2018,5thSem,107,106,5
16106107027,41503,5,4,10,19,39,2018,5thSem,107,106,5
16106107027,041503P,5,4,5,14,27,2018,5thSem,107,106,5
16106107027,51505,4,4,16,24,48,2018,5thSem,107,106,5
16106107027,051505P,4,4,7,15,27,2018,5thSem,107,106,5
16106107027,51511,5,5,15,25,41,2018,5thSem,107,106,5
16106107027,51513,4,4,9,17,39,2018,5thSem,107,106,5
16106107027,51516,4,4,15,23,29,2018,5thSem,107,106,5
16106107027,051516P,5,4,7,16,25,2018,5thSem,107,106,5
16106107027,61502,4,4,14,22,46,2018,5thSem,107,106,5
16106107027,061502P,4,4,7,15,27,2018,5thSem,107,106,5
16106107028,41503,5,5,14,24,42,2018,5thSem,107,106,5
16106107028,041503P,5,5,7,17,29,2018,5thSem,107,106,5
16106107028,51505,5,5,20,30,48,2018,5thSem,107,106,5
16106107028,051505P,5,5,9,19,27,2018,5thSem,107,106,5
16106107028,51511,5,5,19,29,63,2018,5thSem,107,106,5
16106107028,51513,5,5,16,26,50,2018,5thSem,107,106,5
16106107028,51516,5,5,19,29,46,2018,5thSem,107,106,5
16106107028,051516P,5,5,9,19,28,2018,5thSem,107,106,5
16106107028,61502,5,5,19,29,40,2018,5thSem,107,106,5
16106107028,061502P,5,5,8,18,28,2018,5thSem,107,106,5
16106107029,41503,4,3,9,16,41,2018,5thSem,107,106,5
16106107029,041503P,4,3,5,12,27,2018,5thSem,107,106,5
16106107029,51505,4,4,15,23,50,2018,5thSem,107,106,5
16106107029,051505P,4,4,8,16,27,2018,5thSem,107,106,5
16106107029,51511,4,4,9,17,14,2018,5thSem,107,106,5
16106107029,51513,5,5,5,15,48,2018,5thSem,107,106,5
16106107029,51516,4,5,16,25,40,2018,5thSem,107,106,5
16106107029,051516P,4,5,8,17,20,2018,5thSem,107,106,5
16106107029,61502,4,4,15,23,42,2018,5thSem,107,106,5
16106107029,061502P,4,4,8,16,25,2018,5thSem,107,106,5
16106107030,41503,5,4,7,16,40,2018,5thSem,107,106,5
16106107030,041503P,5,4,4,13,29,2018,5thSem,107,106,5
16106107030,51505,5,4,19,28,48,2018,5thSem,107,106,5
16106107030,051505P,5,5,9,19,29,2018,5thSem,107,106,5
16106107030,51511,5,5,15,25,43,2018,5thSem,107,106,5
16106107030,51513,5,5,8,18,48,2018,5thSem,107,106,5
16106107030,51516,5,5,18,28,52,2018,5thSem,107,106,5
16106107030,051516P,5,4,9,18,27,2018,5thSem,107,106,5
16106107030,61502,4,4,14,22,46,2018,5thSem,107,106,5
16106107030,061502P,4,4,8,16,28,2018,5thSem,107,106,5
16106107031,41503,4,4,10,18,51,2018,5thSem,107,106,5
16106107031,041503P,4,4,5,13,28,2018,5thSem,107,106,5
16106107031,51505,5,4,18,27,44,2018,5thSem,107,106,5
16106107031,051505P,5,4,8,17,26,2018,5thSem,107,106,5
16106107031,51511,4,3,14,21,39,2018,5thSem,107,106,5
16106107031,51513,4,4,7,15,48,2018,5thSem,107,106,5
16106107031,51516,4,4,17,25,44,2018,5thSem,107,106,5
16106107031,051516P,4,5,8,17,20,2018,5thSem,107,106,5
16106107031,61502,4,5,19,28,38,2018,5thSem,107,106,5
16106107031,061502P,5,4,8,17,26,2018,5thSem,107,106,5
16106107032,41503,5,5,17,27,36,2018,5thSem,107,106,5
16106107032,041503P,5,5,8,18,27,2018,5thSem,107,106,5
16106107032,51505,4,5,17,26,51,2018,5thSem,107,106,5
16106107032,051505P,4,5,8,17,29,2018,5thSem,107,106,5
16106107032,51511,5,5,18,28,59,2018,5thSem,107,106,5
16106107032,51513,5,4,10,19,49,2018,5thSem,107,106,5
16106107032,51516,5,5,19,29,40,2018,5thSem,107,106,5
16106107032,051516P,5,4,8,17,23,2018,5thSem,107,106,5
16106107032,61502,5,5,16,26,40,2018,5thSem,107,106,5
16106107032,061502P,5,5,9,19,27,2018,5thSem,107,106,5
16106107033,41503,5,5,17,27,28,2018,5thSem,107,106,5
16106107033,041503P,5,5,9,19,29,2018,5thSem,107,106,5
16106107033,51505,5,5,20,30,43,2018,5thSem,107,106,5
16106107033,051505P,5,5,9,19,29,2018,5thSem,107,106,5
16106107033,51511,5,5,16,26,58,2018,5thSem,107,106,5
16106107033,51513,5,5,10,20,36,2018,5thSem,107,106,5
16106107033,51516,5,5,20,30,42,2018,5thSem,107,106,5
16106107033,051516P,4,5,9,18,27,2018,5thSem,107,106,5
16106107033,61502,5,5,19,29,42,2018,5thSem,107,106,5
16106107033,061502P,5,5,9,19,28,2018,5thSem,107,106,5
16106107034,41503,5,4,9,18,50,2018,5thSem,107,106,5
16106107034,041503P,5,4,5,14,28,2018,5thSem,107,106,5
16106107034,51505,5,5,19,29,48,2018,5thSem,107,106,5
16106107034,051505P,5,5,7,17,27,2018,5thSem,107,106,5
16106107034,51511,5,5,17,27,33,2018,5thSem,107,106,5
16106107034,51513,5,5,9,19,53,2018,5thSem,107,106,5
16106107034,51516,5,5,18,28,43,2018,5thSem,107,106,5
16106107034,051516P,4,5,7,16,24,2018,5thSem,107,106,5
16106107034,61502,5,5,16,26,46,2018,5thSem,107,106,5
16106107034,061502P,5,5,8,18,27,2018,5thSem,107,106,5
16106107036,41503,5,5,18,28,56,2018,5thSem,107,106,5
16106107036,041503P,5,5,9,19,28,2018,5thSem,107,106,5
16106107036,51505,5,5,20,30,47,2018,5thSem,107,106,5
16106107036,051505P,5,5,9,19,27,2018,5thSem,107,106,5
16106107036,51511,5,5,19,29,57,2018,5thSem,107,106,5
16106107036,51513,5,5,14,24,48,2018,5thSem,107,106,5
16106107036,51516,5,5,20,30,45,2018,5thSem,107,106,5
16106107036,051516P,5,4,8,17,25,2018,5thSem,107,106,5
16106107036,61502,5,5,19,29,48,2018,5thSem,107,106,5
16106107036,061502P,5,5,8,18,28,2018,5thSem,107,106,5
