PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO5,CO6",29,70,3
PO2,"CO1,CO2,CO4,CO5,CO6",37,89,3
PO3,"CO2,CO3,CO6",19,46,3
PO4,"CO3,CO4,CO6",19,46,3
PO5,"CO3,CO5,CO6",19,46,3
POS1,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3
