"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107191","241301","4","5","2","2","4","4","3","15","54.00"
"15106107227","241301","4","5","0","4","4","4","4","16","48.00"
"15106107228","241301","4","5","4","2","2","3","4","15","58.00"
"15106107229","241301","4","5","4","4","3","1","1","13","52.00"
"15106107230","241301","4","5","3","1","4","4","1","13","45.00"
"15106107231","241301","4","5","2","4","4","4","2","16","58.00"
"15106107233","241301","4","5","3","4","3","3","4","17","61.00"
"15106107234","241301","4","5","4","4","4","4","4","20","48.00"
"15106107235","241301","4","5","2","4","4","3","2","15","51.00"
"15106107236","241301","5","5","0","4","4","3","4","15","37.00"
"15106107237","241301","4","5","1","4","4","4","3","16","49.00"
"15106107238","241301","4","5","3","4","2","4","4","17","43.00"
"15106107239","241301","4","5","3","4","3","2","2","14","47.00"
"15106107240","241301","5","4","3","4","4","2","2","15","61.00"
"15106107241","241301","4","5","2","3","4","2","3","14","50.00"
"15106107242","241301","4","5","1","3","4","2","4","14","49.00"
"15106107244","241301","4","5","4","3","3","1","0","11","48.00"
"15106107245","241301","5","5","4","4","3","4","2","17","49.00"
"15106107246","241301","4","5","3","2","1","4","3","13","44.00"
"15106107247","241301","4","4","4","4","2","2","4","16","47.00"
"15106107248","241301","5","5","4","3","2","4","3","16","39.00"
"15106107249","241301","4","4","3","3","3","4","2","15","47.00"
"15106107250","241301","4","5","4","2","4","3","3","16","39.00"
"15106107253","241301","4","5","4","4","3","2","3","16","38.00"
"15106107254","241301","4","5","3","3","1","4","3","14","47.00"
"15106107255","241301","4","5","3","3","4","0","4","14","47.00"
"15106107256","241301","4","5","4","4","3","2","2","15","35.00"
"15106107257","241301","4","4","2","4","1","4","2","13","49.00"
"15106107259","241301","4","5","4","3","2","3","4","16","44.00"
"15106107260","241301","4","5","4","4","2","4","1","15","47.00"
"15106107262","241301","4","5","3","1","4","0","4","12","45.00"
"15106107263","241301","4","5","4","4","2","1","3","14","44.00"
"15106107264","241301","4","5","4","4","3","1","4","16","44.00"
"15106107265","241301","4","5","4","3","2","4","1","14","48.00"
"15106107266","241301","4","5","4","4","3","3","4","18","49.00"
"15106107267","241301","5","5","4","2","3","2","2","13","47.00"
