CO1,-,2,-,-,-,-,-,-,-,-,-,-,3,-,-
CO2,-,2,2,-,-,-,-,-,-,-,-,-,3,-,-
CO3,-,-,-,2,3,-,-,-,-,-,-,-,3,-,-
CO4,-,-,2,-,-,-,-,-,-,-,-,-,3,-,-
CO5,-,-,-,2,3,-,-,-,-,-,-,-,3,-,-
CO6,-,-,-,-,3,-,-,-,-,-,-,-,3,-,-
AVG,-,2.0,2.0,2.0,3.0,-,-,-,-,-,-,-,3.0,-,-
