"15106107251","021103P","10","8","19","56"
"16106107001","021103P","10","6","19","56"
"16106107002","021103P","10","10","16","54"
"16106107003","021103P","10","9","18","56"
"16106107004","021103P","10","7","18","56"
"16106107005","021103P","10","8","19","55"
"16106107006","021103P","10","7","18","56"
"16106107007","021103P","10","6","19","56"
"16106107008","021103P","7","8","16","54"
"16106107009","021103P","7","6","15","54"
"16106107010","021103P","10","8","17","56"
"16106107011","021103P","10","7","19","56"
"16106107012","021103P","10","8","18","56"
"16106107013","021103P","9","10","18","55"
"16106107014","021103P","7","5","17","56"
"16106107015","021103P","10","6","18","54"
"16106107016","021103P","9","5","12","54"
"16106107017","021103P","10","10","17","56"
"16106107018","021103P","10","6","11","55"
"16106107019","021103P","7","8","12","55"
"16106107020","021103P","6","10","19","56"
"16106107021","021103P","0","0","0","55"
"16106107022","021103P","7","7","16","54"
"16106107023","021103P","9","8","17","55"
"16106107024","021103P","9","6","11","54"
"16106107025","021103P","8","6","17","55"
"16106107026","021103P","10","7","18","56"
"16106107027","021103P","10","6","18","56"
"16106107028","021103P","10","9","18","56"
"16106107029","021103P","6","7","12","55"
"16106107030","021103P","9","10","18","57"
"16106107031","021103P","10","6","19","55"
"16106107032","021103P","6","7","18","55"
"16106107033","021103P","9","9","18","56"
"16106107034","021103P","9","5","17","55"
"16106107035","021103P","0","0","0","54"
"16106107036","021103P","9","7","19","56"
"16106107037","021103P","9","6","19","56"
"16106107038","021103P","10","7","17","55"
"16106107039","021103P","9","8","16","56"
