"15106107251","51403","4","4","7","30"
"16106107001","51403","4","5","15","42"
"16106107002","51403","4","5","6","16"
"16106107003","51403","5","4","12","43"
"16106107004","51403","5","5","17","48"
"16106107005","51403","4","4","7","13"
"16106107006","51403","5","5","14","33"
"16106107007","51403","5","5","10","27"
"16106107008","51403","5","4","11","43"
"16106107009","51403","4","4","8","27"
"16106107010","51403","5","5","13","46"
"16106107011","51403","5","5","14","36"
"16106107012","51403","4","4","8","25"
"16106107013","51403","5","5","16","48"
"16106107014","51403","4","5","8","26"
"16106107015","51403","5","4","7","29"
"16106107016","51403","5","4","7","26"
"16106107017","51403","5","4","7","40"
"16106107018","51403","5","4","11","54"
"16106107019","51403","5","5","5","40"
"16106107020","51403","5","5","13","47"
"16106107022","51403","5","4","12","44"
"16106107023","51403","5","4","6","30"
"16106107024","51403","5","4","6","25"
"16106107025","51403","5","4","7","16"
"16106107026","51403","4","4","8","41"
"16106107027","51403","5","5","10","42"
"16106107028","51403","5","5","17","54"
"16106107029","51403","5","4","6","19"
"16106107030","51403","5","5","13","39"
"16106107031","51403","4","4","9","46"
"16106107032","51403","5","5","13","49"
"16106107033","51403","5","5","14","39"
"16106107034","51403","5","5","10","37"
"16106107036","51403","5","5","19","56"
"16106107037","51403","5","5","14","49"
"16106107039","51403","5","4","13","56"
"17106107901","51403","5","4","9","26"
"17106107902","51403","4","5","8","26"
"17106107903","51403","4","4","8","32"
