"15106107251","021101P","4","5","9","29"
"16106107001","021101P","4","5","8","28"
"16106107002","021101P","4","4","8","27"
"16106107003","021101P","4","5","9","28"
"16106107004","021101P","4","4","9","28"
"16106107005","021101P","4","5","9","27"
"16106107006","021101P","5","5","8","29"
"16106107007","021101P","4","4","9","29"
"16106107008","021101P","4","5","9","28"
"16106107009","021101P","4","5","8","27"
"16106107010","021101P","4","5","8","28"
"16106107011","021101P","4","5","8","28"
"16106107012","021101P","4","5","9","29"
"16106107013","021101P","5","4","9","28"
"16106107014","021101P","4","5","8","29"
"16106107015","021101P","4","5","8","29"
"16106107016","021101P","4","4","9","27"
"16106107017","021101P","4","5","8","27"
"16106107018","021101P","5","5","8","27"
"16106107019","021101P","4","4","8","27"
"16106107020","021101P","4","5","9","28"
"16106107021","021101P","0","0","0","27"
"16106107022","021101P","4","4","8","27"
"16106107023","021101P","4","5","8","27"
"16106107024","021101P","4","4","9","26"
"16106107025","021101P","4","4","8","27"
"16106107026","021101P","4","5","9","29"
"16106107027","021101P","4","5","8","29"
"16106107028","021101P","4","5","9","29"
"16106107029","021101P","4","4","9","28"
"16106107030","021101P","4","4","9","29"
"16106107031","021101P","4","5","8","29"
"16106107032","021101P","4","4","9","27"
"16106107033","021101P","5","5","8","29"
"16106107034","021101P","4","5","8","27"
"16106107035","021101P","0","0","0","26"
"16106107036","021101P","5","4","9","29"
"16106107037","021101P","4","5","9","28"
"16106107038","021101P","4","5","8","28"
"16106107039","021101P","4","5","8","27"
