PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO4,CO5",32,77,3
PO10,"CO4,CO5,CO6",20,48,3
PO11,"CO5,CO6",10,24,1
PO12,"CO1,CO2,CO4,CO5,CO6",36,86,3
PO2,CO2,8,20,1
PO3,"CO1,CO3",14,34,2
PO4,CO1,8,20,1
PO5,"CO3,CO4",16,39,2
PO6,"CO3,CO5",12,29,2
PO7,CO5,6,15,1
PO8,"CO2,CO3",14,34,2
PO9,"CO1,CO2,CO4",26,62,3
PSO1,"CO1,CO3,CO4",24,58,3
PSO2,"CO1,CO2,CO4,CO5,CO6",36,86,3
