CO1,3,-,2,1,-,-,-,-,3,-,-,3,3,3,-
CO2,3,1,-,-,-,-,-,2,3,-,-,3,-,3,-
CO3,-,-,2,-,2,2,-,2,-,-,-,-,3,-,-
CO4,3,-,-,-,2,-,-,-,3,3,-,3,3,3,-
CO5,3,-,-,-,-,2,1,-,-,3,1,3,3,-,1
CO6,-,-,-,-,-,-,-,-,-,3,1,3,-,-,1
AVG,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0
