PO/PSO,COs,Total Session,%Session,Mapping Strength
,CO5,8,19,1
PO1,"CO1,CO2,CO4,CO5,CO6",34,78,3
PO10,CO2,3,7,1
PO2,"CO1,CO2,CO5,CO6",20,46,3
PO3,"CO3,CO6",16,37,2
PO4,"CO4,CO6",20,46,3
PO5,CO3,10,23,1
POS1,"CO1,CO2,CO3,CO4,CO6",36,82,3
