CO1,1,4,3.37,67.4,4.37,4.4,87.7,40.33,50.48,80,53.43
CO2,2,4,3.2,64.0,4.37,4.4,87.7,40.33,49.8,80,52.82
CO3,3,4,3.57,71.4,4.37,4.4,87.7,40.33,51.28,80,54.15
CO4,4,4,3.2,64.0,4.37,4.4,87.7,40.33,49.8,80,52.82
CO5,5,4,3.43,68.6,4.37,4.4,87.7,40.33,50.72,80,53.65
CO6,-,-,-,-,4.37,4.4,87.7,40.33,54.54,80,57.09
