PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",43,100,3
PO2,"CO2,CO3,CO4,CO5",35,82,3
PO3,"CO4,CO5",11,26,2
PO4,"CO2,CO3,CO4",31,73,3
PO5,"CO2,CO3",24,56,3
POPO2,CO6,4,10,1
PSO1,"CO1,CO2,CO3,CO4,CO5,CO6",43,100,3
