Course Code,CO No.,Course outcomes,Pos/PSOs,CL,KC,Classroom session
51403,CO1,To understand the concepts of data storage and management,"PO1,PSO1",U,C,4
51403,CO2,"To apply linear data structures like arrays, linked list, stacks and queues to solve simple problems","PO1,PO2,PO4,PO5,PSO1",Ap,"C, P",12
51403,CO3,To apply nonlinear data structures; trees for storing and accessing data efficiently,"PO1,PO2,PO4,PO5,PSO1",Ap," C,P",12
51403,CO4,To analyse various techniques for searching and sorting,"PO1,PO2,PO3,PO4,PSO1",An,"C,P",7
51403,CO5,To analyse various hashing techniques.,"PO1,PO2,PO3,PSO1",An,C,4
51403,CO6,To explain various graph search and traversal techniques,"PO1,POPO2,PSO1",C,P,4
