PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO3",14,33,2
PO2,"CO1,CO2,CO3,CO4,CO5",31,73,3
PO3,"CO2,CO3,CO4,CO6",33,77,3
PO4,"CO3,CO5,CO6",28,66,3
PO5,"CO4,CO5",17,40,3
POS1,"CO2,CO3,CO4,CO5,CO6",41,96,3
