"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107182","41503","4","5","4","4","4","4","3","19","26"
"14106107184","41503","4","5","2","3","3","1","3","12",""
"14106107185","41503","4","5","4","3","3","3","4","17","25"
"14106107186","41503","4","5","3","4","1","4","4","16","30"
"14106107187","41503","4","5","4","3","4","4","4","19","36"
"14106107188","41503","4","5","3","3","4","3","4","17","29"
"14106107189","41503","4","5","4","4","4","4","4","20","21"
"14106107192","41503","4","5","3","0","2","1","4","10","26"
"14106107197","41503","4","5","3","4","4","4","2","17","25"
"14106107198","41503","4","5","2","4","4","4","3","17","25"
"14106107201","41503","4","5","4","4","2","4","4","18","26"
"14106107202","41503","4","5","4","1","4","3","4","16","40"
"14106107203","41503","4","5","4","4","2","4","4","18","37"
"14106107204","41503","4","5","4","3","4","4","4","19","26"
"14106107205","41503","4","5","3","4","4","4","3","18","26"
"14106107206","41503","4","5","4","2","3","4","3","16","27"
"14106107207","41503","4","5","4","4","2","4","0","14","25"
"14106107209","41503","4","5","3","3","3","3","4","16","32"
"14106107211","41503","4","5","2","4","2","4","4","16","25"
"14106107263","41503","4","5","4","4","4","4","3","19","26"
"14106107264","41503","4","5","4","4","4","4","4","20","29"
"14106107265","41503","4","5","2","4","4","3","4","17","35"
"14106107266","41503","4","5","4","4","2","3","4","17","31"
"14106107267","41503","4","5","3","4","4","4","1","16","25"
"14106107268","41503","4","5","4","4","4","3","4","19","28"
"14106107269","41503","4","5","4","2","0","1","3","10",""
"14106107317","41503","4","5","3","4","3","4","4","18","31"
"14106107270","41503","4","5","4","0","4","3","0","11","25"
"14106107316","41503","4","5","3","3","0","4","4","14","25"
"14106107318","41503","4","5","4","4","4","4","4","20","32"
