"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107182","11101","4","4","4","4","4","4","3","19","45"
"14106107183","11101","4","4","4","4","4","4","3","19","48"
"14106107184","11101","3","AB","2","1","4","1","4","12","28"
"14106107185","11101","4","AB","4","4","2","4","4","18","21"
"14106107186","11101","4","4","4","4","4","3","4","19","61"
"14106107187","11101","4","4","4","3","4","4","4","19","54"
"14106107188","11101","4","4","4","4","4","4","3","19","58"
"14106107189","11101","4","4","4","3","4","3","3","17","46"
"14106107192","11101","3","5","1","4","4","4","4","17","39"
"14106107197","11101","4","4","3","4","2","4","4","17","43"
"14106107198","11101","3","4","4","4","4","2","4","18","52"
"14106107201","11101","4","4","4","2","4","3","4","17","42"
"14106107202","11101","3","4","4","4","3","3","2","16","44"
"14106107203","11101","4","4","1","4","4","4","4","17","27"
"14106107204","11101","4","4","4","4","2","4","4","18","33"
"14106107205","11101","4","4","4","3","4","3","3","17","43"
"14106107206","11101","3","3","4","3","3","4","4","18","25"
"14106107207","11101","4","4","4","3","4","2","4","17","25"
"14106107209","11101","4","4","4","4","4","3","2","17","25"
"14106107211","11101","4","4","4","4","4","3","4","19","26"
"14106107263","11101","3","3","4","4","3","4","4","19","25"
"14106107264","11101","3","4","4","1","4","3","4","16","26"
"14106107265","11101","AB","AB","4","3","1","2","3","13","43"
"14106107266","11101","3","4","4","4","3","4","4","19","53"
"14106107267","11101","3","AB","4","4","1","4","4","17","25"
"14106107268","11101","3","AB","4","4","2","3","4","17","44"
"14106107269","11101","AB","AB","4","4","4","0","1","13","41"
"14106107270","11101","AB","4","4","2","4","4","1","15","44"
