"PO1","CO1,CO2,CO4,CO5","32","77","3","57.18","57.18"
"PO10","CO4,CO5,CO6","20","48","3","57.87","57.87"
"PO11","CO5,CO6","10","24","1","58.11","19.37"
"PO12","CO1,CO2,CO4,CO5,CO6","36","86","3","57.7","57.7"
"PO2","CO2","8","20","1","57.73","19.24"
"PO3","CO1,CO3","14","34","2","57.03","38.02"
"PO4","CO1","8","20","1","57.16","19.05"
"PO5","CO3,CO4","16","39","2","57.14","38.1"
"PO6","CO3,CO5","12","29","2","56.67","37.78"
"PO7","CO5","6","15","1","56.44","18.81"
"PO8","CO2,CO3","14","34","2","57.32","38.21"
"PO9","CO1,CO2,CO4","26","62","3","57.42","57.42"
"PSO1","CO1,CO3,CO4","24","58","3","57.15","57.15"
"PSO2","CO1,CO2,CO4,CO5,CO6","36","86","3","57.7","57.7"
