PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO4,CO5,CO6",34,81,3
PO2,"CO4,CO5",20,48,3
PO2.PO4,CO3,8,20,1
PO4,"CO5,CO6",16,39,2
PO5,"CO4,CO5,CO6",26,62,3
PSO1,"CO1,CO2,CO3,CO4,CO5,CO6",42,100,3
