PO/PSO,COs,Total Session,%Session,Mapping Strength
 PSO1,CO1,6,14,1
PO2,"CO1,CO2",16,37,2
PO3,"CO2,CO4",16,37,2
PO4,"CO3,CO5",16,37,2
PO5,"CO3,CO5,CO6",22,50,3
