"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107191","51718","","","4","4","4","4","4","20","20","39"
"15106107230","51718","","","4","4","2","2","4","16","24","52"
"15106107231","51718","","","2","2","4","3","3","14","22","38"
"15106107228","51718","","","3","4","4","3","4","18","27","41"
"15106107233","51718","","","4","4","3","4","4","19","29","57"
"15106107227","51718","","","4","4","4","4","4","20","20","53"
"15106107260","51718","","","0","4","4","4","4","16","24","54"
"15106107262","51718","","","4","4","4","4","3","19","19","54"
"15106107259","51718","","","4","3","3","2","2","14","22","44"
"15106107267","51718","","","3","3","4","0","0","10","10","43"
"15106107234","51718","","","4","3","4","4","4","19","29","62"
"15106107235","51718","","","4","3","4","4","3","18","27","57"
"15106107236","51718","","","4","4","4","4","1","17","25","52"
"15106107263","51718","","","3","1","4","3","3","14","22","37"
"15106107264","51718","","","4","3","4","4","4","19","29","50"
"15106107237","51718","","","4","3","4","4","4","19","28","53"
"15106107238","51718","","","4","4","4","4","3","19","28","39"
"15106107239","51718","","","4","2","3","4","2","15","23","52"
"15106107229","51718","","","4","4","4","4","3","19","29","51"
"15106107240","51718","","","4","2","2","4","1","13","21","59"
"15106107241","51718","","","4","0","2","4","4","14","22","42"
"15106107242","51718","","","4","4","4","4","2","18","26","59"
"15106107244","51718","","","4","4","4","4","4","20","20","55"
"15106107265","51718","","","1","4","4","4","3","16","24","33"
"15106107245","51718","","","3","4","4","3","4","18","27","60"
"15106107246","51718","","","3","4","4","4","4","19","29","53"
"15106107247","51718","","","4","4","4","4","4","20","20","40"
"15106107248","51718","","","4","4","4","4","3","19","28","57"
"15106107249","51718","","","4","4","4","4","3","19","29","51"
"15106107250","51718","","","4","4","3","4","4","19","29","49"
"15106107253","51718","","","4","4","4","3","3","18","27","35"
"15106107254","51718","","","4","4","4","4","3","19","29","49"
"15106107255","51718","","","4","3","2","4","4","17","25","43"
"15106107266","51718","","","4","4","3","4","4","19","29","61"
"15106107256","51718","","","0","3","4","3","4","14","22","35"
"15106107257","51718","","","3","4","4","4","4","19","19","10"
