"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107191","61722","","","4","4","3","3","4","18","27","44"
"15106107230","61722","","","3","4","4","3","4","18","26","50"
"15106107231","61722","","","4","4","4","2","3","17","25","45"
"15106107228","61722","","","4","4","4","3","4","19","28","40"
"15106107233","61722","","","4","4","4","4","4","20","30","52"
"15106107227","61722","","","4","4","4","4","2","18","27","51"
"15106107260","61722","","","3","4","4","4","4","19","28","45"
"15106107262","61722","","","4","4","2","4","4","18","27","45"
"15106107259","61722","","","3","3","3","4","4","17","25","50"
"15106107267","61722","","","1","0","2","4","3","10","10","48"
"15106107234","61722","","","4","4","4","4","4","20","30","60"
"15106107235","61722","","","2","2","4","4","4","16","24","52"
"15106107236","61722","","","4","4","2","4","4","18","27","47"
"15106107263","61722","","","3","4","4","4","4","19","28","42"
"15106107264","61722","","","4","4","4","4","4","20","30","50"
"15106107237","61722","","","4","4","3","4","4","19","28","53"
"15106107238","61722","","","4","4","4","3","4","19","29","48"
"15106107239","61722","","","3","4","4","3","4","18","26","45"
"15106107229","61722","","","4","4","4","4","4","20","30","53"
"15106107240","61722","","","4","4","4","4","2","18","26","48"
"15106107241","61722","","","2","4","3","4","4","17","25","51"
"15106107242","61722","","","4","4","4","3","4","19","29","51"
"15106107244","61722","","","4","4","4","2","4","18","27","46"
"15106107265","61722","","","3","4","4","2","4","17","25","45"
"15106107245","61722","","","4","4","3","3","4","18","27","51"
"15106107246","61722","","","4","4","4","4","3","19","28","52"
"15106107247","61722","","","4","4","4","3","3","18","26","46"
"15106107248","61722","","","4","4","4","4","3","19","29","48"
"15106107249","61722","","","4","4","3","4","4","19","29","51"
"15106107250","61722","","","4","4","4","4","4","20","30","48"
"15106107253","61722","","","4","3","4","4","4","19","29","46"
"15106107254","61722","","","4","4","4","4","4","20","30","54"
"15106107255","61722","","","3","4","4","4","4","19","29","44"
"15106107266","61722","","","4","4","4","4","4","20","30","52"
"15106107256","61722","","","4","4","4","3","3","18","26","49"
"15106107257","61722","","","2","4","4","3","4","17","25","41"
