"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"15106107227","51513","","","4","2","3","3","3","15","23","44"
"15106107228","51513","","","4","3","3","4","3","17","25","42"
"15106107229","51513","","","4","4","3","4","4","19","29","44"
"15106107230","51513","","","4","4","4","3","4","19","19","49"
"15106107231","51513","","","4","3","4","2","4","17","17","36"
"15106107233","51513","","","4","4","3","4","4","19","28","47"
"15106107234","51513","","","4","4","4","4","4","20","30","57"
"15106107235","51513","","","4","2","4","2","2","14","22","47"
"15106107236","51513","","","3","0","3","3","4","13","21","50"
"15106107237","51513","","","4","3","2","4","3","16","24","55"
"15106107238","51513","","","3","4","4","4","4","19","28","49"
"15106107239","51513","","","3","4","0","4","2","13","21","50"
"15106107240","51513","","","0","3","4","3","4","14","22","54"
"15106107241","51513","","","0","4","4","4","3","15","23","48"
"15106107242","51513","","","4","3","2","4","4","17","25","49"
"15106107244","51513","","","2","4","4","3","4","17","25","43"
"15106107245","51513","","","4","3","4","3","4","18","26","50"
"15106107246","51513","","","3","4","4","4","4","19","28","48"
"15106107247","51513","","","4","4","4","4","3","19","19","40"
"15106107248","51513","","","4","3","4","4","2","17","25","44"
"15106107249","51513","","","4","3","4","4","4","19","28","48"
"15106107250","51513","","","2","4","4","3","3","16","24","45"
"15106107253","51513","","","3","3","4","4","4","18","27","49"
"15106107254","51513","","","2","2","2","4","4","14","22","49"
"15106107255","51513","","","4","4","2","4","3","17","17","46"
"15106107256","51513","","","4","4","2","4","3","17","17","47"
"15106107257","51513","","","1","4","4","0","4","13","13","38"
"15106107259","51513","","","4","3","3","3","3","16","16","43"
"15106107260","51513","","","4","4","4","4","4","20","20","50"
"15106107262","51513","","","4","1","3","4","4","16","24","46"
"15106107263","51513","","","4","2","0","3","4","13","21","28"
"15106107264","51513","","","3","3","4","4","4","18","27","51"
"15106107265","51513","","","4","4","2","4","4","18","18","43"
"15106107266","51513","","","4","3","4","3","4","18","26","49"
"15106107267","51513","","","3","3","4","4","2","16","16","43"
