"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107191","61808","","","4","4","4","4","4","20","20","44"
"15106107230","61808","","","4","4","4","4","2","18","26","43"
"15106107231","61808","","","4","4","3","3","4","18","18","30"
"15106107228","61808","","","4","4","4","4","3","19","19","41"
"15106107233","61808","","","4","4","4","4","2","18","26","41"
"15106107227","61808","","","3","3","1","4","3","14","22","49"
"15106107260","61808","","","4","2","2","3","2","13","21","36"
"15106107262","61808","","","4","3","3","4","4","18","18","38"
"15106107259","61808","","","4","4","4","4","3","19","19","47"
"15106107267","61808","","","3","4","4","3","4","18","18","38"
"15106107234","61808","","","3","4","4","4","4","19","29","57"
"15106107235","61808","","","4","3","4","3","4","18","18","42"
"15106107236","61808","","","4","2","4","4","4","18","18","32"
"15106107263","61808","","","3","4","4","4","4","19","19","34"
"15106107264","61808","","","3","4","4","4","3","18","27","48"
"15106107237","61808","","","3","4","3","4","4","18","27","53"
"15106107238","61808","","","4","3","4","1","3","15","23","50"
"15106107239","61808","","","4","4","4","4","4","20","20","50"
"15106107229","61808","","","4","3","4","4","3","18","27","43"
"15106107240","61808","","","4","4","3","4","4","19","19","49"
"15106107241","61808","","","4","4","4","4","4","20","20","43"
"15106107242","61808","","","4","2","4","2","1","13","21","40"
"15106107244","61808","","","4","4","3","4","4","19","19","41"
"15106107265","61808","","","4","4","4","4","3","19","19","31"
"15106107245","61808","","","0","4","1","4","4","13","21","48"
"15106107246","61808","","","4","2","2","4","3","15","23","49"
"15106107247","61808","","","4","4","3","4","3","18","18","39"
"15106107248","61808","","","4","4","3","2","3","16","24","53"
"15106107249","61808","","","4","4","4","3","2","17","25","46"
"15106107250","61808","","","3","4","2","4","2","15","23","41"
"15106107253","61808","","","4","4","4","4","4","20","20","43"
"15106107254","61808","","","3","2","4","4","3","16","24","42"
"15106107255","61808","","","4","3","3","4","4","18","18","32"
"15106107266","61808","","","4","4","4","4","4","20","20","48"
"15106107256","61808","","","4","3","4","3","4","18","18","44"
"15106107257","61808","","","4","4","3","4","3","18","18","28"
