CO1,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-
CO2,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-
CO3,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-
CO4,3,2,-,-,-,-,-,-,-,-,-,-,3,-,-
CO5,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-
CO6,3,2,-,-,-,-,-,-,-,-,-,-,3,-,-
AVG,3.0,2.0,-,-,-,-,-,-,-,-,-,-,3.0,-,-
