PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO3,CO4,CO5,CO6",44,100,3
PO2,"CO1,CO4,CO5",14,32,2
PO3,"CO2,CO3",12,28,2
PO5,"CO2,CO3,CO6",30,69,3
PO6,"CO2,CO3,CO6",30,69,3
POS1,"CO2,CO3,CO4,CO5,CO6",39,89,3
PSO1,CO1,5,12,1
