"FUNDAMENTAL OF INFORMATION TECHNOLOGY","61201","1.67","1.65","-","1.71","1.69","-","-","-","-","-","-","-","1.67","-","-"
"OBJECT ORIENTED PROGRAMMING","51301","1.64","1.64","1.08","1.64","1.65","-","-","-","-","-","-","0.59","1.64","-","-"
"COMPUTE ARCHITECTURE","51402","1.55","1.02","-","-","1.02","-","-","-","-","-","-","-","-","-","1.05"
"DATABASE SYSTEMS","51409","1.7","1.11","-","-","0.57","-","-","-","-","-","-","-","-","-","1.7"
"DATA STRUCTURES","51403","1.66","1.66","1.08","1.62","1.62","-","-","-","-","-","-","-","1.66","-","-"
"DISCRETE MATHEMATICAL STRUCTURE","211405","1.75","1.72","1.76","1.76","1.76","-","-","-","-","-","-","-","-","-","-"
"COMPILER DESIGN","51516","1.7","1.12","1.13","-","1.72","1.72","-","-","-","-","-","-","1.7","-","-"
"COMPUTER NETWORKS","51513","1.67","1.67","1.68","1.68","0.58","-","-","-","-","-","-","-","-","1.67","-"
"FORMAL LANGUAGES & AUTOMATA THEORY","51511","1.51","1.54","1.53","-","1.03","-","-","-","-","-","-","-","1.55","-","-"
"WEB TECHNOLOGY","61502","1.19","1.19","0.83","1.25","0.39","-","-","-","-","0.38","-","-","1.19","-","-"
"SYSTEMS PROGRAMMING","51505","1.72","1.17","-","-","-","-","-","-","-","-","-","-","1.72","-","-"
"SOFTWARE ENGINEERING","51614","0.53","1.61","0.53","1.61","1.64","0.54","0.54","0.54","0.53","1.61","1.61","1.64","1.64","1.61","1.64"
"OPERATING SYSTEMS","61603","1.56","1.57","0.51","0.5","0.51","-","-","-","-","-","-","-","1.56","-","-"
"ARTIFICIAL INTELLIGENCE","51617","-","1.15","1.15","1.15","1.75","-","-","-","-","-","-","-","0.58","-","-"
"DESIGN & ANALYSIS OF ALGORITHMS","51606","1.63","0.53","0.53","-","1.07","1.07","-","-","-","-","-","-","1.62","-","-"
"VISUAL PROGRAMMING","61604","1.6","1.61","1.63","1.6","1.65","-","-","-","-","-","0.59","-","1.6","-","-"
"DATA MINING & WAREHOUSING","61606","-","1.03","1.03","1.04","1.6","-","-","-","-","-","-","-","1.57","-","-"
"CRYPTOGRAPHY","51718","1.74","0.59","1.14","0.57","1.16","1.15","0.57","1.16","1.74","1.77","0.59","1.76","1.73","1.76","-"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","0.98","1.47","1.49","1.49","1.47","-","-","-","-","-","-","-","1.48","-","-"
"WIRELESS AND MOBILE COMMUNICATION","61711","1.17","1.76","1.79","1.78","1.77","-","-","-","-","-","-","-","1.78","1.75","1.81"
"INFORMATION SECURITY","61705","1.55","0.51","1.03","0.52","1.04","1.02","0.51","1.02","1.56","1.59","0.53","1.57","1.55","1.56","0.53"
"Management of Information System","61722","1.82","1.24","-","-","-","-","-","-","-","-","-","-","-","-","1.82"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","1.78","1.21","-","-","-","-","-","-","-","-","-","-","-","-","1.78"
"INTRUSION DETECTION","61808","1.58","1.03","-","-","-","-","-","-","-","-","-","-","-","1.58","-"
"NETWORK SECURITY","61814","1.67","0.55","1.12","0.55","1.12","1.12","0.56","1.12","1.67","1.7","0.57","1.69","1.67","1.67","0.57"
"E-COMMERCE & ERP","61818","1.64","1.11","-","-","-","-","-","-","-","-","-","-","-","-","1.64"
"XML WEB SERVICES","61809","1.52","1.51","1.53","1.53","1.53","-","-","-","-","-","-","-","1.51","-","-"
