DESIGN & ANALYSIS OF ALGORITHMS,51606,CO1,1.34,2.43,1.45
DESIGN & ANALYSIS OF ALGORITHMS,51606,CO2,1.41,2.43,1.51
DESIGN & ANALYSIS OF ALGORITHMS,51606,CO3,1.41,2.43,1.51
DESIGN & ANALYSIS OF ALGORITHMS,51606,CO4,1.38,2.43,1.48
DESIGN & ANALYSIS OF ALGORITHMS,51606,CO5,1.36,2.43,1.47
DESIGN & ANALYSIS OF ALGORITHMS,51606,CO6,1.56,2.43,1.65
ARTIFICIAL INTELLIGENCE,51617,CO1,1.59,2.49,1.68
ARTIFICIAL INTELLIGENCE,51617,CO2,1.59,2.49,1.68
ARTIFICIAL INTELLIGENCE,51617,CO3,1.53,2.49,1.63
ARTIFICIAL INTELLIGENCE,51617,CO4,1.61,2.49,1.7
ARTIFICIAL INTELLIGENCE,51617,CO5,1.59,2.49,1.68
ARTIFICIAL INTELLIGENCE,51617,CO6,1.77,2.49,1.85
OPERATING SYSTEMS,61603,CO1,1.62,2.52,1.71
OPERATING SYSTEMS,61603,CO2,1.62,2.52,1.71
OPERATING SYSTEMS,61603,CO3,1.59,2.52,1.69
OPERATING SYSTEMS,61603,CO4,1.61,2.52,1.7
OPERATING SYSTEMS,61603,CO5,1.61,2.52,1.7
OPERATING SYSTEMS,61603,CO6,1.76,2.52,1.84
SOFTWARE ENGINEERING,51614,CO1,1.58,2.43,1.67
SOFTWARE ENGINEERING,51614,CO2,1.51,2.43,1.6
SOFTWARE ENGINEERING,51614,CO3,1.58,2.43,1.66
SOFTWARE ENGINEERING,51614,CO4,1.59,2.43,1.67
SOFTWARE ENGINEERING,51614,CO5,1.57,2.43,1.65
SOFTWARE ENGINEERING,51614,CO6,1.78,2.43,1.84
"WIRELESS AND MOBILE COMMUNICATION","61711","CO1","1.6","2.4","1.68"
"WIRELESS AND MOBILE COMMUNICATION","61711","CO2","1.59","2.4","1.68"
"WIRELESS AND MOBILE COMMUNICATION","61711","CO3","1.58","2.4","1.66"
"WIRELESS AND MOBILE COMMUNICATION","61711","CO4","1.6","2.4","1.68"
"WIRELESS AND MOBILE COMMUNICATION","61711","CO5","1.56","2.4","1.64"
"WIRELESS AND MOBILE COMMUNICATION","61711","CO6","1.7","2.4","1.77"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","CO1","1.59","2.43","1.67"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","CO2","1.58","2.43","1.66"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","CO3","1.59","2.43","1.67"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","CO4","1.6","2.43","1.68"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","CO5","1.59","2.43","1.68"
"DISTRIBUTED COMPUTING AND ITS APPLICATION","61707","CO6","1.69","2.43","1.76"
