FUNDAMENTAL OF INFORMATION TECHNOLOGY,61201,1.61,1.55,-,1.62,1.62,-,-,-,-,-,-,-,1.6,-,-
OBJECT ORIENTED PROGRAMMING,51301,1.6,1.6,1.03,1.6,1.61,-,-,-,-,-,-,0.6,1.6,-,-
DISCRETE MATHEMATICAL STRUCTURE,211405,1.89,1.88,1.89,1.89,1.89,-,-,-,-,-,-,-,-,-,-
DATA STRUCTURES,51403,1.45,1.46,0.95,1.41,1.38,-,-,-,-,-,-,-,1.45,-,-
COMPUTE ARCHITECTURE,51402,1.77,1.17,-,-,1.17,-,-,-,-,-,-,-,-,-,0.58
DATABASE SYSTEMS,51409,1.49,0.99,-,-,0.49,-,-,-,-,-,-,-,-,-,1.49
WEB TECHNOLOGY,61502,1.64,1.65,1.12,1.67,0.53,-,-,-,-,0.54,-,-,1.63,-,-
SYSTEMS PROGRAMMING,51505,1.77,1.2,-,-,-,-,-,-,-,-,-,-,1.77,-,-
FORMAL LANGUAGES & AUTOMATA THEORY,51511,1.56,1.6,1.56,-,1.04,-,-,-,-,-,-,-,1.58,-,-
COMPILER DESIGN,51516,1.69,1.11,1.1,-,1.7,1.7,-,-,-,-,-,-,1.69,-,-
COMPUTER NETWORKS,51513,1.56,1.56,1.61,1.61,0.56,-,-,-,-,-,-,-,-,1.56,-
VISUAL PROGRAMMING,61604,1.67,1.67,1.69,1.67,1.68,-,-,-,-,-,0.6,-,1.67,-,-
DATA MINING & WAREHOUSING,61606,-,1.05,1.04,1.04,1.62,-,-,-,-,-,-,-,1.6,-,-
DESIGN & ANALYSIS OF ALGORITHMS,51606,1.71,0.55,0.56,-,1.12,1.12,-,-,-,-,-,-,1.7,-,-
ARTIFICIAL INTELLIGENCE,51617,-,1.16,1.16,1.18,1.81,-,-,-,-,-,-,-,0.58,-,-
OPERATING SYSTEMS,61603,1.61,1.62,0.53,0.54,0.53,-,-,-,-,-,-,-,1.61,-,-
SOFTWARE ENGINEERING,51614,0.56,1.69,0.56,1.69,1.73,0.56,0.56,0.56,0.56,1.68,1.69,1.73,1.73,1.68,1.74
WIRELESS AND MOBILE COMMUNICATION,61711,1.26,1.89,1.92,1.93,1.88,-,-,-,-,-,-,-,1.93,1.88,1.96
DISTRIBUTED COMPUTING AND ITS APPLICATION,61707,1.1,1.65,1.69,1.7,1.64,-,-,-,-,-,-,-,1.68,-,-
CRYPTOGRAPHY,51718,1.74,0.59,1.14,0.57,1.16,1.15,0.58,1.16,1.75,1.8,0.61,1.78,1.73,1.78,-
INFORMATION SECURITY,61705,1.67,0.56,1.1,0.54,1.13,1.12,0.56,1.12,1.67,1.75,0.59,1.71,1.67,1.67,0.59
Management of Information System,61722,1.76,1.22,-,-,-,-,-,-,-,-,-,-,-,-,1.76
XML WEB SERVICES,61809,1.87,1.86,1.9,1.88,1.87,-,-,-,-,-,-,-,1.86,-,-
"E-COMMERCE & ERP","61818","1.76","0.62","-","-","-","-","-","-","-","-","-","-","-","-","1.76"
"XML WEB SERVICES","61809","1.87","1.86","1.9","1.88","1.87","-","-","-","-","-","-","-","1.86","-","-"
"INTRUSION DETECTION","61808","1.77","1.16","-","-","-","-","-","-","-","-","-","-","-","1.77","-"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","1.87","1.28","-","-","-","-","-","-","-","-","-","-","-","-","1.87"
"NETWORK SECURITY","61814","1.68","0.56","1.12","0.56","1.12","1.12","0.56","1.12","1.69","1.73","0.58","1.71","1.68","1.69","0.58"
