18106107001,100406,,,20,45
18106107002,100406,,,28,62
18106107003,100406,,,19,48
18106107004,100406,,,23,54
18106107005,100406,,,25,53
18106107006,100406,,,23,45
18106107007,100406,,,26,53
18106107008,100406,,,25,53
18106107009,100406,,,26,58
18106107011,100406,,,18,45
18106107012,100406,,,19,43
18106107013,100406,,,24,50
18106107014,100406,,,23,54
18106107015,100406,,,23,51
18106107016,100406,,,18,43
18106107017,100406,,,27,58
18106107018,100406,,,21,50
18106107019,100406,,,19,40
18106107020,100406,,,26,54
18106107021,100406,,,26,55
18106107022,100406,,,23,52
18106107023,100406,,,25,54
18106107024,100406,,,19,46
18106107025,100406,,,26,59
18106107026,100406,,,21,45
18106107027,100406,,,23,51
18106107028,100406,,,22,53
18106107029,100406,,,25,59
18106107030,100406,,,27,56
18106107031,100406,,,24,48
18106107032,100406,,,24,53
18106107033,100406,,,26,59
18106107034,100406,,,24,52
19106107901,100406,,,24,53
19106107902,100406,,,27,55
19106107903,100406,,,26,54
19106107904,100406,,,19,44
