PO/PSO,COs,Total Session,%Session,Mapping Strength
PO1,"CO1,CO2,CO4,CO5,CO6",36,86,3
PO11,CO6,8,20,1
PO2,"CO1,CO2,CO3,CO5,CO6",34,81,3
PO3,"CO3,CO4,CO6",22,53,3
PO4,"CO2,CO3,CO4,CO5,CO6",40,96,3
PO5,"CO3,CO5,CO6",18,43,3
POS1,"CO2,CO3,CO4,CO5,CO6",40,96,3
